FileName,Grain #,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,29,3282.5,64.64834727657909,-89.40147442129364,89.18809059866875,54.57792309927714,453.97213177926693,90.0,173.5013709063214,243.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,30,492.75,25.04773015002061,30.839692797963156,30.998065571466807,20.86749367879709,106.72234841721124,80.0,171.86707255200406,226.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,31,114.25,12.060995729457511,55.098522383564784,17.553978879196592,9.521696470392474,60.56244584051392,144.0,191.0612691466083,249.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,32,869.75,33.27762152007574,-88.18084666645264,47.106813433272286,32.17977627191706,206.56601717798213,83.0,176.6861167002012,242.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,33,3163.75,63.468193685151235,-89.03820461811102,259.1329449165751,27.247602466321826,697.0548698896889,59.0,162.49466613986567,232.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,34,2397.25,55.24738454095695,87.27506894635336,93.46933659457757,34.26014621210499,259.29646455628165,77.0,179.03837730733133,207.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,35,1364.5,41.68135504984368,-89.68472542105692,157.2023697628739,19.982459346628275,397.6457069611992,105.0,180.3675338951997,240.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,36,7499.0,97.71398746325413,-86.8521573073257,165.90147898151568,63.76860814516525,607.4782284336768,40.0,177.71612881717562,250.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,37,1733.75,46.98381700846142,-86.88829743132492,119.99008816361614,22.621671280834043,342.84976541518074,107.0,184.86719538572459,228.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,38,928.0,34.37391885593249,-89.52130637563737,89.89656004350988,13.774898026749709,197.70153313703997,147.0,200.42699353448276,230.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,39,8118.5,101.67003119863993,-81.68929249482818,142.61879784419426,80.22567364614935,519.1909088590099,59.0,177.0184455256513,240.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,40,71.25,9.52461639974967,5.718356894537781,14.384452031498814,9.00755772850923,50.248737341529164,153.0,196.23859649122807,228.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,41,36.75,6.840435166640879,50.17272533470278,7.542930707808156,6.529317398031441,24.935028842544405,179.0,200.96598639455783,214.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,42,230.5,17.131308037083887,-87.6692233941707,23.948720874912613,14.432266926257794,82.42335854398792,148.0,193.882863340564,215.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,43,400.0,22.56758334191025,-83.75196460170714,38.916426926874294,14.493479824830041,119.35533905932738,156.0,198.68125,219.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,44,383.0,22.082815618339236,-61.58587169141696,32.97937289548726,16.202687541867142,119.3583873865323,104.0,181.96475195822455,208.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,45,17368.0,148.70650427254455,-88.65639251705912,353.13026638183544,69.36501399554017,1192.699097554473,56.0,171.21526658222018,246.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,46,183.75,15.295678028289107,-72.62897243600267,21.917014691136913,13.570913205256707,89.92335854398792,123.0,181.9387755102041,205.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,47,204.75,16.146076823319174,-65.12091351774646,22.661386597679975,16.88711135011635,106.11574669941302,161.0,194.83394383394383,213.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,48,31.75,6.358093703724522,32.98997689885963,8.476850752607044,6.195336778288839,27.417261889578032,148.0,190.88976377952756,207.0
